@relation 'numberLight'
@attribute vendor {0,1,2,3,4,5,6,7,8,9}
@attribute light_angle0 real
@attribute light_angle5 real
@attribute light_angle10 real
@attribute light_angle15 real
@attribute light_angle20 real
@attribute light_angle25 real
@attribute light_angle30 real
@attribute light_angle35 real
@attribute light_angle40 real
@attribute light_angle45 real
@attribute light_angle50 real
@attribute light_angle55 real
@attribute light_angle60 real
@attribute light_angle65 real
@attribute light_angle70 real
@attribute light_angle75 real
@attribute light_angle80 real
@attribute light_angle85 real
@attribute light_angle90 real
@attribute light_angle95 real
@attribute light_angle100 real
@attribute light_angle105 real
@attribute light_angle110 real
@attribute light_angle115 real
@attribute light_angle120 real
@attribute light_angle125 real
@attribute light_angle130 real
@attribute light_angle135 real
@attribute light_angle140 real
@attribute light_angle145 real
@attribute light_angle150 real
@attribute light_angle155 real
@attribute light_angle160 real
@attribute light_angle165 real
@attribute light_angle170 real
@attribute light_angle175 real
@attribute light_angle180 real
@attribute light_angle185 real
@attribute light_angle190 real
@attribute light_angle195 real
@attribute light_angle200 real
@attribute light_angle205 real
@attribute light_angle210 real
@attribute light_angle215 real
@attribute light_angle220 real
@attribute light_angle225 real
@attribute light_angle230 real
@attribute light_angle235 real
@attribute light_angle240 real
@attribute light_angle245 real
@attribute light_angle250 real
@attribute light_angle255 real
@attribute light_angle260 real
@attribute light_angle265 real
@attribute light_angle270 real
@attribute light_angle275 real
@attribute light_angle280 real
@attribute light_angle285 real
@attribute light_angle290 real
@attribute light_angle295 real
@attribute light_angle300 real
@attribute light_angle305 real
@attribute light_angle310 real
@attribute light_angle315 real
@attribute light_angle320 real
@attribute light_angle325 real
@attribute light_angle330 real
@attribute light_angle335 real
@attribute light_angle340 real
@attribute light_angle345 real
@attribute light_angle350 real
@attribute light_angle355 real

@data
0,158,154,146,146,139,132,137,145,278,288,405,406,442,438,453,449,450,451,454,461,464,465,459,456,449,445,418,423,385,377,330,315,294,286,277,274,282,288,306,344,353,400,423,454,453,464,464,466,457,463,467,463,472,464,461,467,476,472,475,464,464,458,451,417,329,252,201,172,185,159,161,176
1,264,247,284,387,444,443,455,448,452,453,460,454,458,459,455,464,466,446,460,458,462,456,445,448,454,450,450,462,453,466,470,448,447,216,244,170,196,217,451,450,465,466,466,476,471,466,466,459,469,456,464,465,455,462,453,457,466,460,459,463,459,459,466,460,454,457,461,469,453,460,452,428
2,255,221,228,213,214,224,248,258,348,385,390,438,438,455,454,458,456,455,453,452,460,465,449,456,457,453,448,442,431,260,250,165,169,164,152,154,156,162,161,159,166,152,156,162,417,440,464,466,459,461,459,456,458,464,459,467,465,472,462,466,454,451,453,421,393,355,337,287,286,260,265,249
3,260,248,253,255,291,296,339,386,412,432,432,435,441,439,440,440,446,442,447,448,437,446,444,439,422,412,263,253,178,191,146,138,135,129,133,153,142,142,142,136,135,131,130,130,124,253,242,418,422,434,433,441,443,441,436,437,449,455,452,450,449,442,432,412,381,351,324,299,292,277,272,272
4,431,347,170,186,159,160,359,383,422,433,429,424,425,421,421,422,420,428,421,421,426,428,415,391,286,272,368,386,430,412,176,170,178,167,413,383,408,405,362,369,362,368,375,364,370,228,232,247,296,410,429,447,447,453,448,453,460,452,455,442,441,450,450,447,449,448,457,447,439,443,447,445
5,312,298,273,245,187,184,228,404,442,443,444,452,452,447,445,447,447,451,452,446,439,455,447,443,440,439,436,428,385,293,263,193,162,153,151,149,151,165,209,189,176,176,151,142,147,151,179,241,417,438,443,450,459,457,452,448,456,457,448,446,445,434,382,299,222,185,182,152,161,220,260,290
6,155,152,153,151,159,141,141,134,138,137,349,402,436,440,450,443,460,453,451,448,426,421,355,346,261,230,202,185,157,159,153,152,153,152,183,183,219,279,281,329,408,424,423,446,444,455,452,451,450,452,455,452,452,450,453,455,449,450,449,448,451,442,444,446,440,438,409,341,263,196,169,168
7,252,245,227,184,153,155,163,265,443,445,453,456,462,465,459,452,464,456,460,461,458,472,455,465,455,464,455,458,470,468,472,467,470,466,475,475,440,417,258,218,186,247,236,452,449,467,471,460,464,461,458,466,461,469,457,467,459,466,470,460,458,454,417,265,194,188,153,140,138,171,198,224
8,172,194,246,301,313,385,431,454,449,458,460,455,461,454,461,456,463,455,456,454,462,467,457,450,464,457,441,406,393,265,272,199,173,175,166,159,161,147,151,152,153,153,153,154,149,143,151,154,235,322,403,434,455,457,464,458,469,467,463,441,380,317,254,207,169,161,159,142,146,146,142,153
9,147,146,142,144,144,140,138,139,139,155,150,231,249,353,355,412,418,413,426,424,419,417,396,391,329,330,273,230,197,212,169,180,160,174,171,195,224,213,246,329,329,425,430,462,465,462,465,462,455,458,456,464,453,452,457,450,464,463,456,453,453,458,455,452,447,405,315,258,194,208,173,176
