@relation 'numberLight'
@attribute vendor {0,1,2,3,4,5,6,7,8,9}
@attribute light_angle0 real
@attribute light_angle15 real
@attribute light_angle30 real
@attribute light_angle45 real
@attribute light_angle60 real
@attribute light_angle75 real
@attribute light_angle90 real
@attribute light_angle105 real
@attribute light_angle120 real
@attribute light_angle135 real
@attribute light_angle150 real
@attribute light_angle165 real
@attribute light_angle180 real
@attribute light_angle195 real
@attribute light_angle210 real
@attribute light_angle225 real
@attribute light_angle240 real
@attribute light_angle255 real
@attribute light_angle270 real
@attribute light_angle285 real
@attribute light_angle300 real
@attribute light_angle315 real
@attribute light_angle330 real
@attribute light_angle345 real

@data
0,269,217,168,213,316,391,353,273,212,204,281,384,452,498,503,503,501,506,503,501,498,453,272,181
1,302,478,496,498,502,505,507,500,508,503,256,230,476,503,502,500,502,499,504,501,502,504,501,432
2,258,308,429,489,495,499,506,504,479,293,209,191,184,167,412,501,504,505,508,472,388,294,264,262
3,282,364,459,497,502,502,502,487,325,224,180,207,214,190,252,463,500,504,505,503,425,306,262,271
4,234,337,484,493,500,501,506,431,370,326,186,456,477,483,324,289,479,489,483,472,473,478,480,470
5,180,193,478,503,502,508,500,480,361,255,184,188,192,188,302,474,503,501,507,499,476,263,190,193
6,231,301,211,469,479,357,231,178,165,163,212,331,438,500,508,503,505,503,502,501,498,492,360,199
7,222,172,252,485,504,504,500,501,497,497,499,303,208,463,502,507,508,503,510,506,463,258,220,280
8,233,308,452,495,501,500,505,476,305,204,192,194,199,191,250,441,494,504,509,492,385,244,214,215
9,212,184,177,199,272,343,321,268,212,200,214,259,365,467,498,508,502,501,501,500,497,435,270,194
0,260,202,165,223,368,386,350,279,200,201,240,349,451,491,501,505,503,506,503,505,499,439,246,197
1,284,478,500,496,500,501,500,500,502,502,265,238,474,499,501,505,501,498,503,501,501,499,496,366
2,283,327,427,487,495,497,498,502,491,331,218,187,186,168,423,494,507,506,506,490,409,313,292,296
3,221,339,471,498,501,506,504,488,379,228,194,190,199,188,281,461,501,505,505,496,367,243,208,199
4,232,419,492,502,503,499,502,415,459,304,243,473,503,491,410,298,476,498,505,501,500,499,496,413
5,287,200,416,503,502,506,501,474,302,207,182,224,222,179,247,477,499,501,502,502,494,330,300,346
6,215,290,216,456,481,372,242,181,171,170,193,322,440,496,508,509,507,501,502,500,499,494,390,215
7,201,178,246,490,500,502,504,503,501,499,498,289,204,464,506,507,510,506,512,504,451,237,216,254
8,255,339,460,494,501,505,503,469,323,186,187,204,213,182,226,435,496,504,502,492,406,255,241,238
9,226,197,166,215,316,373,357,298,234,204,240,293,403,472,500,502,500,498,500,501,493,369,213,188
0,274,217,162,237,338,390,351,287,202,203,265,360,449,500,505,501,503,504,504,504,500,417,247,202
1,319,479,502,495,499,507,503,499,504,499,276,202,476,498,502,503,498,497,501,500,500,505,498,413
2,233,281,418,485,499,503,500,506,498,285,198,174,180,172,402,499,506,499,505,484,384,261,242,244
3,194,283,459,496,501,501,500,484,404,253,192,182,196,199,284,448,500,502,509,498,376,212,198,195
4,249,343,482,493,491,495,491,417,434,283,188,457,486,480,400,312,476,494,502,498,502,504,496,480
5,228,177,462,502,505,506,502,469,344,203,184,189,185,168,237,479,501,503,504,500,485,286,222,274
6,258,298,215,472,480,355,232,181,173,161,200,329,441,492,503,508,502,500,502,501,496,489,367,210
