		0	15	30	45	60	75	90	105	120	135	150	165	180	195	210	225	240	255	270	285	300	315	330	345
0		177	174	132	128	166	276	264	188	144	135	145	247	402	444	459	467	462	466	469	470	466	462	360	189
1		185	388	444	453	454	445	452	447	448	457	229	168	439	462	460	472	457	454	454	452	447	444	451	444
2		241	196	241	389	446	457	457	456	465	331	179	152	150	157	438	479	461	464	471	462	464	431	354	300
3		160	166	301	445	458	455	461	407	230	148	143	135	152	164	348	467	460	467	482	464	457	401	277	194
4		380	169	408	423	419	417	416	337	177	167	144	413	367	369	218	330	442	449	459	444	442	453	449	445
5		255	163	162	432	449	458	460	431	250	168	148	164	148	146	234	457	455	461	463	459	451	420	242	296
6		162	217	159	197	412	225	155	131	119	121	123	174	391	428	439	462	459	450	464	447	442	450	447	287
7		334	166	144	380	444	449	450	443	450	460	448	212	161	444	463	462	434	421	428	406	413	188	222	343
8		158	162	248	425	449	452	455	432	198	173	146	158	161	173	293	451	451	451	458	449	442	365	244	175
9		163	144	124	134	136	148	156	142	135	146	144	176	334	460	469	476	449	443	454	448	447	462	396	210
