@relation 'numberLight'
@attribute vendor {0,1,2,3,4,5,6,7,8,9}
@attribute light_angle0 real
@attribute light_angle30 real
@attribute light_angle60 real
@attribute light_angle90 real
@attribute light_angle120 real
@attribute light_angle150 real
@attribute light_angle180 real
@attribute light_angle210 real
@attribute light_angle240 real
@attribute light_angle270 real
@attribute light_angle300 real
@attribute light_angle330 real

@data
0,385,160,136,134,321,140,439,475,473,473,433,169
1,383,478,474,472,301,359,471,474,475,466,469,361
2,143,256,457,474,442,296,180,472,473,424,198,154
3,161,404,470,224,214,403,147,463,479,468,179,169
4,156,466,472,340,148,452,313,261,478,472,477,466
5,169,472,466,207,244,406,146,465,480,475,209,155
6,459,433,166,175,315,150,460,472,482,479,451,169
7,137,440,480,472,476,192,465,472,472,475,199,147
8,146,364,471,255,237,408,150,384,481,441,158,153
9,397,156,144,154,256,160,423,475,471,473,316,202
0,384,141,149,148,320,151,440,480,474,476,430,171
1,381,473,480,473,279,380,476,478,478,474,478,338
2,146,240,455,472,449,308,188,473,474,435,185,141
3,149,400,478,240,220,396,146,465,481,470,195,163
4,149,466,473,344,133,450,321,295,475,474,470,439
5,151,469,474,215,225,404,148,464,471,480,212,158
6,454,446,160,186,307,149,457,482,473,481,442,158
7,143,426,473,473,469,169,463,474,475,480,207,152
8,153,330,470,280,234,406,166,406,480,454,165,140
9,401,154,156,142,249,167,419,479,472,482,299,217
0,385,142,148,145,321,163,437,476,480,481,438,161
1,392,477,482,477,280,404,479,471,473,473,472,319
2,135,268,464,479,439,307,178,471,480,419,211,161
3,151,403,477,232,217,398,153,455,481,473,167,157
4,148,459,479,316,144,452,308,277,479,479,476,465
5,161,472,468,185,215,403,176,464,479,473,201,149
6,456,436,156,179,300,159,455,472,475,482,447,159
7,152,435,478,475,465,172,463,476,480,476,182,151
8,153,367,472,251,223,408,175,388,472,451,174,149
9,399,175,148,150,239,148,426,478,470,480,305,192
0,376,141,149,133,333,144,440,482,476,481,441,170
1,307,473,481,472,274,400,478,471,477,465,471,297
2,136,252,466,479,444,308,162,471,480,431,193,153
3,150,400,478,262,213,389,158,465,475,463,193,154
4,147,465,476,341,133,448,298,248,470,472,479,467
5,152,472,467,185,237,401,150,468,478,471,253,163
6,455,439,148,186,307,165,461,483,476,483,448,166
7,146,444,474,471,474,195,466,471,482,479,187,144
8,138,350,473,222,212,413,149,409,481,441,180,147
9,405,171,155,141,242,168,410,480,482,482,338,236
0,372,141,149,139,325,140,436,480,480,481,440,156
1,333,480,481,481,305,400,473,477,481,474,477,326
2,137,237,455,479,456,294,168,471,476,423,182,153
3,160,405,471,207,214,399,179,457,475,462,189,153
4,164,467,470,333,143,452,341,315,477,476,481,460
5,161,475,464,192,230,412,151,468,473,480,216,159
6,459,445,170,169,306,171,452,479,476,482,448,162
7,145,407,480,481,478,160,463,481,476,474,173,149
8,148,375,471,198,221,402,162,414,481,446,161,147
9,403,158,141,141,235,171,417,480,472,481,272,225
0,379,148,147,147,334,164,441,482,482,480,434,150
1,343,476,472,474,300,343,474,477,478,470,470,327
2,146,260,465,474,444,289,177,479,476,435,181,144
3,154,409,476,274,204,394,159,465,479,464,182,150
4,160,465,480,310,135,449,309,315,474,480,471,460
5,163,474,473,170,226,410,173,467,473,477,229,145
6,461,448,175,191,303,154,457,479,480,480,458,187
7,145,432,478,478,475,178,468,474,474,475,214,155
8,153,375,468,215,231,403,173,400,474,458,183,144
9,395,182,154,142,245,146,416,474,477,479,265,220
0,365,149,150,136,325,156,433,473,472,473,436,149
1,397,477,480,480,305,253,468,472,473,467,478,373
2,149,211,464,473,438,293,162,474,473,422,171,143
3,153,392,469,277,196,390,153,462,477,457,173,154
4,161,462,475,347,134,451,351,307,475,471,477,465
5,153,466,463,193,248,412,174,466,470,478,206,149
6,461,448,150,167,291,168,454,471,475,481,440,178
7,142,442,471,480,470,164,466,482,480,474,173,160
8,139,332,471,232,207,407,172,377,472,439,168,161
9,410,162,146,149,241,170,405,479,474,476,304,184
0,372,164,144,147,335,138,441,472,478,473,440,154
1,386,470,476,481,305,396,480,478,481,464,469,383
2,152,268,464,477,454,301,151,478,473,417,204,145
3,148,413,474,242,189,390,167,451,473,461,183,161
4,159,465,478,338,139,450,297,285,474,477,476,438
5,167,471,471,215,234,408,146,471,479,477,194,157
6,461,441,180,185,295,171,451,473,475,474,441,182
7,139,427,475,476,469,194,464,474,476,477,207,146
8,142,373,477,243,206,396,178,402,473,438,164,147
9,403,159,151,149,238,168,405,473,472,480,264,210
0,374,157,150,140,335,165,437,481,481,481,451,162
1,384,473,477,481,299,365,475,481,478,471,477,387
2,144,233,462,480,447,292,161,476,473,411,180,160
3,160,413,480,257,206,403,169,464,482,461,185,154
4,147,463,477,335,146,450,358,287,471,472,469,454
5,157,467,472,189,233,407,180,470,471,480,184,157
6,457,431,150,164,291,178,448,478,483,482,436,172
7,139,437,471,473,478,199,463,473,478,481,165,150
8,144,349,471,261,212,405,165,403,478,446,165,156
9,407,178,152,151,224,160,423,475,473,480,319,221
0,369,143,137,144,333,161,448,478,476,478,429,151
1,394,478,476,478,372,365,474,471,480,470,470,292
2,150,274,465,481,437,300,161,476,482,409,180,159
3,147,375,469,240,194,393,159,458,478,456,196,154
4,168,468,474,322,146,453,346,323,473,477,479,451
5,164,472,472,192,207,416,171,464,472,471,242,162
6,456,438,155,176,300,165,457,480,475,477,432,173
7,142,405,479,481,477,187,464,481,475,475,183,144
8,150,382,470,230,211,396,163,370,479,442,151,143
9,401,160,152,149,220,151,419,480,481,481,286,229
