@relation 'numberLight'
@attribute vendor {0,1,2,3,4,5,6,7,8,9}
@attribute light_angle0 real
@attribute light_angle45 real
@attribute light_angle90 real
@attribute light_angle135 real
@attribute light_angle180 real
@attribute light_angle225 real
@attribute light_angle270 real
@attribute light_angle315 real

@data
0,284,135,204,139,472,480,479,155
1,467,472,472,380,474,478,478,351
2,150,466,473,249,461,473,276,150
3,229,470,167,389,189,475,267,157
4,398,481,147,445,166,470,472,458
5,413,461,151,412,310,474,438,150
6,432,148,338,168,477,475,476,168
7,147,481,474,198,480,472,407,163
8,164,477,147,399,188,482,288,148
9,256,148,191,149,470,472,457,203
0,271,148,199,155,471,471,473,155
1,466,474,472,396,480,472,482,354
2,147,465,481,247,456,472,282,145
3,215,476,152,389,180,477,271,152
4,397,482,151,448,148,476,476,453
5,414,461,157,417,329,478,435,148
6,431,153,335,162,473,477,481,169
7,143,478,480,181,475,472,405,146
8,164,474,157,395,171,472,284,146
9,226,143,196,151,468,480,467,208
0,291,134,197,146,474,471,483,171
1,470,474,476,371,481,476,473,355
2,149,470,477,242,458,476,266,143
3,217,472,171,390,166,481,260,163
4,400,473,146,447,151,479,478,450
5,406,469,158,415,304,472,433,160
6,433,164,328,165,480,474,482,184
7,141,482,476,176,475,475,403,151
8,165,477,143,396,187,480,296,152
9,259,153,182,150,474,480,455,194
0,261,145,203,143,477,473,473,175
1,473,473,476,394,476,473,475,352
2,150,466,472,241,453,474,288,159
3,217,469,170,384,177,477,252,158
4,390,481,150,446,160,479,472,448
5,411,458,162,418,280,473,432,161
6,428,151,327,168,480,474,473,178
7,149,478,474,167,475,481,399,160
8,167,468,161,394,189,476,258,147
9,247,147,175,151,471,470,460,209
0,278,140,197,141,473,482,480,172
1,472,478,480,372,474,473,474,359
2,159,465,481,261,458,483,278,155
3,231,476,148,385,180,472,261,167
4,403,474,158,450,164,479,477,452
5,424,466,163,414,297,480,441,164
6,428,146,324,168,480,482,474,170
7,149,479,477,161,472,478,392,155
8,167,476,152,399,175,481,289,148
9,223,142,169,174,468,470,457,199
0,282,145,228,160,471,473,473,161
1,469,481,473,396,473,472,478,354
2,158,471,476,239,459,474,264,143
3,227,478,163,381,181,474,286,161
4,395,474,144,448,160,471,474,452
5,421,459,160,413,287,472,438,159
6,432,170,335,154,472,481,483,177
7,147,475,476,192,481,475,391,168
8,163,469,146,399,174,479,272,152
9,238,144,166,165,469,475,455,230
0,263,136,215,151,470,480,472,156
1,470,483,476,390,479,474,475,358
2,149,467,480,252,462,472,289,147
3,213,476,170,378,172,472,253,160
4,393,470,142,448,161,479,473,460
5,419,469,156,416,301,480,432,158
6,437,150,333,161,480,475,478,163
7,148,471,479,195,471,478,406,156
8,171,475,161,393,184,478,279,141
9,244,147,174,154,473,477,463,224
0,274,135,199,161,473,482,480,174
1,468,480,481,399,474,474,480,363
2,149,468,473,256,461,479,282,155
3,230,479,161,389,189,481,262,174
4,408,474,142,448,149,472,479,456
5,423,470,160,421,325,474,429,153
6,428,163,341,153,476,473,482,170
7,142,475,481,200,473,474,399,166
8,163,476,147,392,190,473,268,142
9,239,144,158,161,468,479,465,245
0,275,135,208,155,477,476,482,160
1,469,473,480,368,478,482,483,358
2,148,466,474,232,459,481,288,157
3,234,469,159,386,175,475,273,172
4,407,480,159,445,166,475,482,453
5,413,461,156,420,265,479,438,154
6,423,153,336,146,474,482,477,167
7,146,473,472,172,480,478,418,166
8,175,470,152,402,182,481,273,145
9,270,155,165,160,472,476,456,231
0,267,137,223,160,473,475,473,158
1,468,481,472,375,478,477,481,328
2,147,464,479,247,460,472,279,156
3,228,470,146,380,185,479,270,178
4,402,476,163,448,161,472,476,453
5,417,459,159,418,311,479,437,150
6,432,167,331,149,471,471,483,176
7,154,473,482,197,474,480,392,170
8,167,469,162,403,190,475,273,145
9,257,153,160,152,473,472,457,250
