@relation 'numberLight'
@attribute vendor {0,1,2,3,4,5,6,7,8,9}
@attribute light_angle0 real
@attribute light_angle60 real
@attribute light_angle120 real
@attribute light_angle180 real
@attribute light_angle240 real
@attribute light_angle300 real

@data
0,304,250,365,461,457,148
1,455,457,260,454,456,211
2,464,475,144,472,407,216
3,472,410,156,468,435,164
4,461,335,459,394,466,291
5,469,378,134,470,468,149
6,460,135,395,476,470,162
7,471,472,185,467,472,152
8,475,401,151,464,394,140
9,193,210,299,473,467,168
0,134,124,403,461,462,142
1,454,460,448,453,453,314
2,465,470,157,468,400,131
3,468,405,234,469,450,298
4,461,278,455,432,465,343
5,470,347,167,468,468,273
6,456,132,406,471,472,173
7,469,473,188,474,470,161
8,472,399,140,464,409,139
9,196,185,216,471,472,137
0,435,409,260,462,455,134
1,469,471,398,463,465,231
2,468,475,150,473,362,154
3,465,433,150,466,422,152
4,462,237,456,428,473,423
5,476,432,147,464,465,160
6,459,132,430,470,467,198
7,469,476,181,473,473,154
8,468,392,256,467,442,302
9,240,264,365,478,469,265
0,450,446,185,458,453,137
1,473,469,400,466,471,238
2,455,474,147,476,441,154
3,466,461,147,466,286,169
4,467,229,455,446,469,420
5,476,347,224,469,470,385
6,460,133,361,468,467,158
7,469,472,167,470,471,194
8,473,392,149,464,398,135
9,140,164,407,475,464,208
0,424,387,223,465,457,139
1,468,473,441,467,465,294
2,471,474,146,469,338,167
3,467,312,184,467,457,233
4,463,267,457,428,465,416
5,475,381,142,470,472,174
6,463,138,288,475,464,158
7,465,476,162,473,470,241
8,469,381,161,463,441,151
9,217,282,389,469,467,288
0,438,413,271,459,457,140
1,469,473,389,475,466,278
2,468,471,154,474,388,311
3,470,408,156,471,442,173
4,468,159,454,463,466,412
5,467,316,146,470,474,195
6,454,130,428,468,463,156
7,470,472,191,474,471,141
8,470,337,214,468,454,255
9,202,218,284,473,466,150
0,389,278,218,460,463,140
1,474,469,183,470,473,259
2,463,472,145,469,389,164
3,470,452,178,466,373,232
4,462,271,453,445,470,318
5,473,374,161,467,470,265
6,457,134,382,468,462,156
7,471,475,176,471,468,284
8,465,380,140,464,415,139
9,232,231,333,468,463,201
0,171,146,375,462,464,137
1,473,468,448,473,465,326
2,448,471,140,472,450,156
3,471,397,148,467,436,182
4,467,185,453,450,467,391
5,468,413,148,465,470,155
6,462,143,347,472,459,160
7,468,474,158,476,476,252
8,468,396,190,468,442,232
9,217,223,307,473,467,180
0,128,121,350,460,462,135
1,470,476,394,470,463,394
2,454,473,144,468,459,310
3,467,446,149,468,367,154
4,463,284,453,414,473,390
5,471,377,236,466,472,336
6,461,138,388,472,459,151
7,470,471,164,474,474,186
8,466,393,141,463,412,140
9,199,206,297,467,468,164
0,350,330,385,458,462,181
1,470,470,410,474,463,231
2,462,475,143,474,423,165
3,471,273,181,472,461,244
4,466,272,457,441,470,393
5,473,402,137,470,467,160
6,463,140,392,469,460,151
7,475,471,193,470,472,173
8,465,372,165,466,413,171
9,208,215,332,468,465,192
